result,kpm,dpm,apm,dmgpm,wpm,earnedgpm,cspm,visiblewardclearrate,invisiblewardclearrate,goldat10,goldat15,csat10,csat15,xpat10,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,teambaronkills,teamtowerkills,side,herald,fd,fb,ft,firstmidouter,firsttothreetowers
1,0.2682926829268293,0.21951219512195122,0.6829268292682927,1889.0487804878048,3.6341463414634148,1194.7560975609756,33.609756097560975,0.6129032258064516,0.36904761904761907,15146.0,25373.0,309.0,478.0,18703.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0,1.0,1,0,0.0,0.0,0.0
1,0.9203798392987582,0.17531044558071585,1.8407596785975164,1978.8604821037254,2.8049671292914535,1452.6749452154854,31.073776479181888,0.6666666666666666,0.1,18787.0,31622.0,315.0,497.0,17803.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1,1.0,1,1,1.0,1.0,1.0
0,0.17531044558071585,0.9203798392987582,0.30679327976625276,1196.2746530314098,2.2352081811541273,760.8560993425857,26.866325785244705,0.4117647058823529,0.13333333333333333,13625.0,21514.0,247.0,403.0,15695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0
0,0.20606754436176303,0.37779049799656556,0.41213508872352606,1282.2552947910704,3.228391528334287,1007.7939324556384,31.837435603892384,0.5333333333333333,0.3076923076923077,15637.0,24299.0,288.0,473.0,18559.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0.0,0,1,0.0,0.0,0.0
1,0.37779049799656556,0.20606754436176303,0.7899255867200916,1705.7584430452202,3.3314253005151686,1274.136233543217,34.58500286204922,0.7058823529411765,0.25,16920.0,25555.0,348.0,560.0,19851.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0,1.0,1,0,1.0,1.0,1.0
1,0.4411764705882353,0.14705882352941177,1.1764705882352942,2126.5073529411766,4.080882352941177,1360.6470588235295,38.93382352941177,0.7741935483870968,0.1875,16360.0,25768.0,356.0,568.0,19684.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1,1.0,1,0,1.0,1.0,1.0
0,0.14705882352941177,0.4411764705882353,0.2573529411764706,966.9852941176471,2.9044117647058822,832.8897058823529,31.727941176470587,0.43243243243243246,0.30158730158730157,15386.0,23397.0,327.0,508.0,19286.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0
0,0.18126888217522658,0.18126888217522658,0.5438066465256798,1039.0332326283988,3.564954682779456,984.6465256797583,32.3262839879154,0.6046511627906976,0.30434782608695654,16311.0,24860.0,313.0,482.0,18883.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,1,0.0,0.0,0.0
1,0.18126888217522658,0.18126888217522658,0.2719033232628399,1574.441087613293,3.3836858006042294,1312.622356495468,38.670694864048336,0.5454545454545454,0.4603174603174603,16480.0,26332.0,325.0,528.0,19029.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,0,0.0,1,0,1.0,1.0,1.0
1,0.31929046563192903,0.05321507760532151,0.7982261640798226,1676.461197339246,4.363636363636363,1268.8603104212862,35.866962305986696,0.71875,0.3389830508474576,15293.0,22650.0,340.0,515.0,19629.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,1,1.0,0,0,0.0,1.0,1.0
